numero,direccion,latitud,longitud
21.0,Juan Llorens - Literato Gabriel Miró,39.4723713328859,-0.39021443540491124
52.0,Luis García Berlanga Martí - Menorca,39.45603425797373,-0.3463402980947426
46.0,Pintor Luis Arcas - Inst. Obrero Valenciano,39.455509261762266,-0.35878734087160885
50.0,Autopista del Saler - Antonio Ferrandis (C.C. El Saler),39.453318252515686,-0.3528593228128155
66.0,Guillem de Anglesola - Av. Puerto,39.46427128532339,-0.3462612916525901
91.0,Grabador Jordan - Escultor Pastor,39.44412522887422,-0.36757337969703135
94.0,Blasco Ibañez - Clariano,39.47537832465668,-0.35158330144926053
87.0,Blasco Ibañez - Doctor Gómez Ferrer (Clínico),39.47851834019109,-0.36188033357859983
95.0,Naranjos (Magisterio),39.47983533734356,-0.34611927939668474
99.0,Blasco Ibañez - Pintor José Mongrell,39.47134430635022,-0.3404842660990001
20.0,Quart - Fernando el Católico,39.47503434099054,-0.3878474253260651
80.0,Amadeo de Saboya (frente Ayuntamiento),39.47374232444908,-0.36229833944736023
33.0,Germanías - Ruzafa,39.46481830023885,-0.37399038562310283
84.0,"Serrería, 67",39.46729429030231,-0.3351652508188024
97.0,Blasco Ibañez 121,39.47306831276613,-0.3431322739648798
18.0,Colón 20-22,39.468191311513856,-0.37312937987373457
55.0,Francia - Pintor Maella,39.45934326975421,-0.34868630411595647
11.0,Plaza Ayuntamiento - Cotanda,39.47118632283677,-0.3767843903416451
38.0,Peris y Valero - Cabo Jubi,39.45940204927687,-0.37024937736936264
65.0,Av. Puerto - Doctor Manuel Candela,39.465516292011046,-0.3508373061951808
1.0,C/GUILLEM DE CASTRO esquina con C/NA JORDANA,39.48004223020643,-0.38292927973315827
6.0,Guillem de Castro - San Pedro Pascual,39.472798331478145,-0.38408341393871137
48.0,Antonio Ferrandis - General Urrutia,39.450807354184086,-0.35855273823228967
8.0,Plaza de la Reina - Mar,39.47432033281947,-0.3750843825510484
67.0,Juan Verdeguer - Toneleros,39.45886026320377,-0.33679826304022287
62.0,Menorca - Baleares,39.45981126842254,-0.3421522812931475
64.0,Av. Puerto 61-63,39.46651829706714,-0.35419531724959286
68.0,Av. Puerto - José Aguilar,39.46280327868023,-0.3417332778594022
57.0,Alameda - Pintor Monleón,39.46447629179199,-0.3582563324315247
83.0,General Elio - Llano del Real,39.47758533929587,-0.3669703519914759
102.0,Ramón Llull - Serpis,39.47583332394092,-0.346720283882565
103.0,Rubén Darío - Plaza Fray Luis Colomer,39.47845333567255,-0.3523713017453889
106.0,Albalat dels Tarongers - Professor Ernest Lluch,39.47674432466283,-0.34138726522688073
108.0,Luís Peixó 20,39.47382619077011,-0.3339152679031098
187.0,Ángel Villena - Ausias March,39.447960241518516,-0.3688183809361798
189.0,Hospital Nueva Fe (administración),39.44477922701873,-0.37706532415787625
161.0,Mediterráneo - Plaza Cruz de Cañamelar,39.46796929073871,-0.3317262387298495
193.0,Uruguay - Carteros,39.45514627443484,-0.386718436578698
123.0,Albocácer - Vinaroz,39.487671371814656,-0.36484133609518726
125.0,"Masquefa, 42 - 44",39.489693375775445,-0.3586183142345537
111.0,UPV Galileo,39.48066419504159,-0.3395082613341325
120.0,Doctor Vicente Zaragozá - Emilio Baró,39.484880361257815,-0.36204632906281087
126.0,Alfahuir - José Chabas Bordehore,39.49309838788837,-0.36010431604895277
132.0,Platero Suárez - Milagrosa,39.48528636793778,-0.3734343681182198
138.0,San Pancracio - Periodista Llorente,39.48819038284581,-0.38422240207482833
141.0,Gregorio Gea - Padre Ferris,39.483268367245344,-0.3851564091174212
142.0,Gregorio Gea - Profesor Beltrán Báguena,39.48192036501599,-0.38965942617943544
143.0,Pio XII - Menéndez PIdal (Nuevo Centro),39.4795373575288,-0.39093643241708165
151.0,Jerónimo Monsoriu - Alcalde Cano Coloma,39.464669282422186,-0.33711726031421224
